RegionName,StateName,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
"Riverside, CA",CA,3.12,2.57,2.11,2.02,2.29,3.3,3.67,3.85,4.13,5.05,5.14,4.22,3.58,2.66,2.39,2.84,3.49,3.94,4.4,4.04,4.31,4.95,4.68,4.86,5.23,5.6,6.06,6.51,7.25,7.8,8.44,8.72,8.9,8.81,8.99,9.17,9.54,9.72,9.82,10,9.91,9.63,8.26,7.61,7.34,7.06,6.79,6.42,6.15,5.78,5.32,4.5,4.77,5.5,5.87,6.24,6.33,6.7,6.88
"Phoenix, AZ",AZ,2.02,2.29,2.57,3.12,3.76,4.31,5.14,5.96,6.88,6.97,6.42,5.6,4.86,4.22,3.85,3.67,3.58,3.49,3.21,2.94,2.84,3.03,3.3,3.94,4.4,4.95,5.41,6.06,6.33,6.7,7.06,7.34,7.61,7.71,7.8,7.89,7.98,8.44,8.99,9.27,9.54,9.63,9.45,9.17,9.08,8.81,8.62,8.72,8.53,8.26,8.17,8.07,8.35,8.9,9.36,9.72,9.82,9.91,10
"Seattle, WA",WA,4.4,4.77,5.05,5.23,5.41,5.69,5.78,5.96,6.06,6.24,6.61,6.7,7.25,7.43,7.71,7.8,7.61,7.16,6.97,7.06,7.34,7.98,8.26,8.35,7.89,8.07,8.44,8.53,8.72,8.9,9.08,9.17,9.27,9.36,9.45,9.63,9.72,9.91,10,9.82,9.54,8.99,8.81,8.62,8.17,6.88,6.42,6.15,5.6,5.32,4.95,4.86,5.14,5.5,5.87,6.33,6.51,6.79,7.52
"Minneapolis-St Paul, MN",MN,4.77,4.95,4.68,4.86,5.05,5.14,5.23,5.32,5.41,5.5,5.6,5.69,5.78,5.87,5.96,6.06,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.53,9.36,9.63,9.45,9.27,9.17,9.08,8.99,8.81,8.72,8.35,8.62,8.26,8.17,8.44,8.9,9.54,9.72,9.82,9.91,10
"San Diego, CA",CA,3.3,3.39,3.21,3.67,3.85,4.31,5.14,6.24,6.79,6.61,5.96,5.5,6.06,5.87,6.15,6.33,6.97,7.34,7.52,7.61,7.8,8.35,8.53,8.44,8.17,8.26,8.72,8.81,9.36,9.54,9.45,9.17,8.9,9.08,9.27,9.63,9.72,9.82,10,9.91,8.99,8.62,8.07,7.06,5.78,4.95,4.5,4.13,3.94,3.58,2.94,3.03,3.76,4.4,4.86,5.32,5.41,6.51,7.25
"St. Louis, MO",MO,4.4,4.77,4.86,4.95,5.05,5.14,5.23,5.41,5.5,5.69,5.96,6.15,6.06,5.87,5.6,5.32,5.78,6.24,6.33,6.42,6.51,6.7,6.61,6.79,6.88,6.97,7.06,7.61,7.71,7.43,7.25,7.16,7.34,7.52,7.8,7.89,7.98,8.07,8.35,9.08,9.45,8.99,8.72,8.9,9.36,9.17,8.81,8.53,8.62,8.26,8.17,8.44,9.27,9.54,9.63,9.72,9.82,9.91,10
"Tampa, FL",FL,2.48,2.57,3.21,3.94,4.59,5.96,5.78,5.32,4.5,4.13,4.68,5.5,6.42,7.06,7.8,8.26,9.08,9.72,10,9.82,9.54,9.17,8.81,8.35,6.97,5.87,6.06,6.61,7.16,6.33,6.7,7.34,8.72,8.62,8.44,7.98,8.53,9.27,9.45,9.63,9.36,8.9,8.17,7.71,7.89,7.61,7.43,7.25,6.79,6.15,4.86,4.31,4.4,4.77,5.6,6.88,8.07,8.99,9.91
"Baltimore, MD",MD,3.03,2.48,2.94,2.75,2.29,2.57,3.39,4.13,4.5,4.4,4.22,4.04,4.31,3.76,3.3,2.02,1.93,3.12,4.59,5.5,5.78,5.87,5.69,5.23,4.86,5.6,5.96,6.79,7.06,7.25,6.97,7.16,7.52,7.71,7.8,7.89,7.98,8.44,9.63,9.82,10,9.91,9.72,9.17,9.08,8.81,8.99,8.62,8.9,8.26,8.17,8.07,8.53,9.36,9.54,9.45,8.72,8.35,9.27
"Denver, CO",CO,7.98,8.62,9.17,9.45,9.36,9.08,8.44,8.07,7.71,7.61,7.89,7.43,7.25,6.15,5.96,5.69,5.87,6.33,7.8,8.26,8.81,8.9,8.35,7.52,6.06,6.42,6.88,7.16,7.34,6.97,6.79,6.7,6.51,7.06,8.53,9.27,9.63,9.82,10,9.91,9.72,9.54,8.99,8.72,8.17,6.24,5.6,5.41,5.23,4.95,4.31,4.13,4.4,4.68,4.77,4.86,4.59,4.22,4.04
"Pittsburgh, PA",PA,3.94,4.22,4.04,3.76,3.39,3.49,3.67,4.13,5.05,5.41,6.61,6.88,6.97,6.7,6.24,5.78,6.15,6.51,6.33,5.69,5.5,6.06,5.96,5.87,6.42,6.79,7.06,7.16,7.34,7.25,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.17,8.26,8.35,8.44,8.53,8.62,8.72,8.81,8.9,8.99,9.08,9.27,9.17,9.36,9.45,10,9.82,9.63,9.54,9.72,9.91
"Portland, OR",OR,4.59,4.95,5.69,6.15,7.06,7.52,8.07,8.44,8.62,8.99,9.45,9.54,9.72,9.82,10,9.91,9.63,9.36,8.9,8.35,7.43,7.16,6.79,6.42,6.24,6.33,6.51,6.7,6.97,7.34,7.61,7.71,7.8,7.98,8.17,8.26,8.53,8.81,9.08,9.27,9.17,8.72,7.89,7.25,6.88,6.61,6.06,5.96,5.87,5.5,4.5,4.22,4.13,4.68,4.86,5.23,5.32,5.6,5.78
"Charlotte, NC",NC,3.49,4.04,4.5,4.95,5.05,5.14,5.23,5.32,5.41,5.5,5.6,5.69,6.06,5.96,5.87,5.78,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.88,6.79,6.97,8.07,8.35,8.53,8.44,8.72,8.99,9.17,9.27,9.36,9.54,9.63,9.72,9.91,10,9.82,9.45,9.08,8.9,8.81,8.62,8.26,8.17,7.8,7.71,7.43,7.34,7.16,7.52,7.98,7.89,7.61,7.06,7.25
"Sacramento, CA",CA,4.13,3.94,3.3,3.12,3.49,3.85,4.22,4.59,5.05,5.32,6.15,6.24,5.5,4.95,5.14,5.6,6.7,6.97,7.06,7.34,7.8,8.35,8.62,8.26,8.07,8.17,8.53,8.72,9.17,9.54,9.91,9.82,9.45,9.08,8.81,8.9,9.27,9.36,9.72,10,9.63,8.99,8.44,7.98,7.71,7.25,6.79,6.33,6.06,5.78,5.69,5.96,6.42,6.88,7.16,7.43,7.52,7.61,7.89
"San Antonio, TX",TX,6.88,7.06,7.8,8.9,9.27,9.17,7.71,7.34,6.7,6.24,5.96,5.23,5.14,5.5,4.86,4.95,5.69,6.06,6.42,6.33,6.97,7.98,8.53,8.35,8.17,8.26,8.81,8.44,8.07,6.79,7.16,7.25,7.43,7.61,8.62,9.54,9.63,9.36,9.72,9.91,10,9.82,9.45,8.99,9.08,8.72,7.89,7.52,6.51,6.61,5.87,5.32,4.04,4.4,4.5,5.6,4.13,3.94,3.67
"Orlando, FL",FL,1.38,1.19,1.1,1.74,3.67,6.42,7.34,5.6,4.4,3.12,3.3,3.85,4.68,4.95,5.5,6.15,8.26,9.08,9.91,9.54,9.36,8.9,8.07,6.61,5.41,4.77,4.5,4.59,5.23,6.24,6.88,7.71,8.81,8.72,7.52,5.78,6.06,7.16,8.44,9.27,9.63,10,9.72,9.45,8.99,8.62,7.89,7.25,6.51,5.69,5.05,5.14,5.87,6.79,7.8,8.17,8.53,9.17,9.82
"Cincinnati, OH",OH,4.13,3.58,3.67,3.76,3.94,4.77,5.23,5.78,5.69,5.6,5.32,5.41,5.5,5.96,5.87,6.06,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.43,7.52,7.34,7.16,7.25,7.61,7.71,7.8,7.89,7.98,8.07,8.17,9.08,9.82,9.72,9.45,8.72,8.44,8.26,8.53,8.99,9.17,8.9,8.35,8.62,8.81,9.27,9.36,9.54,9.63,9.91,10
"Cleveland, OH",OH,3.76,3.67,3.58,3.3,3.49,4.68,5.23,5.32,5.41,5.5,5.78,5.96,6.15,6.24,6.06,5.87,5.6,5.69,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.17,8.35,9.45,9.36,8.81,8.72,9.27,9.08,8.62,8.26,8.44,8.53,8.9,8.99,9.17,9.54,9.72,9.82,9.63,9.91,10
"Kansas City, MO",MO,4.68,4.77,4.86,4.95,5.05,5.14,5.6,5.5,5.32,5.69,5.96,6.06,5.87,5.41,5.23,5.78,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.43,7.25,7.34,7.61,8.35,8.9,9.08,9.27,9.54,9.63,9.82,10,9.91,9.72,9.45,9.36,9.17,8.99,8.81,8.72,8.53,8.44,7.89,7.71,7.52,7.8,7.98,8.07,8.17,8.26,8.62
"Las Vegas, NV",NV,4.68,5.05,5.23,6.06,6.15,5.96,5.14,5.87,6.33,6.88,6.51,5.6,4.59,3.94,3.58,3.49,4.04,4.31,4.86,5.32,5.78,6.79,6.42,6.97,7.06,7.34,7.98,8.35,8.53,8.62,8.72,8.9,8.99,9.17,9.27,9.36,9.54,9.63,9.82,10,9.91,9.72,9.45,9.08,8.81,8.44,8.26,8.17,8.07,7.52,5.5,3.85,3.21,3.03,2.66,2.84,2.75,3.12,3.3
"Columbus, OH",OH,4.95,4.5,4.77,4.86,5.05,5.14,5.23,5.32,5.41,5.69,5.87,6.15,5.96,5.78,5.5,5.6,6.06,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.61,7.8,8.53,8.9,9.17,9.27,9.45,9.63,9.82,9.91,10,9.72,9.54,9.36,8.99,8.44,8.07,7.98,8.26,7.89,7.71,7.52,7.43,8.17,8.35,8.81,8.62,8.72,9.08
"Indianapolis, IN",IN,4.68,4.22,3.58,3.39,3.67,4.59,5.05,5.23,4.4,3.49,3.21,3.3,3.94,4.13,4.5,3.76,4.31,5.14,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,8.07,8.9,9.63,9.91,10,9.82,9.72,9.36,9.08,8.99,9.17,9.45,9.54,9.27,8.44,8.17,7.98,8.26,8.62,8.81,8.53,8.35,8.72
"San Jose, CA",CA,8.17,8.26,8.35,8.81,8.72,8.53,7.8,7.98,7.71,7.61,7.43,5.87,5.41,5.05,4.68,4.31,4.4,4.22,4.13,3.67,3.39,3.49,3.58,3.76,4.04,4.5,4.95,5.14,5.5,6.51,7.89,9.08,9.27,9.45,9.54,9.72,9.82,10,9.91,9.63,9.36,9.17,8.99,7.16,5.32,4.77,3.94,3.21,3.03,2.94,2.02,2.29,2.57,2.66,2.2,2.39,2.11,2.48,2.84
"Austin, TX",TX,8.62,9.63,9.91,10,9.82,9.72,9.08,9.27,9.36,9.54,9.45,8.99,8.72,7.61,6.88,6.15,6.24,6.42,6.61,7.06,7.25,8.35,7.89,8.07,7.52,7.8,7.71,6.97,6.06,5.87,5.69,5.5,4.77,4.22,4.31,4.68,4.86,4.95,5.32,5.41,5.6,5.14,4.59,3.94,3.85,3.58,3.39,3.21,2.84,2.94,2.75,3.12,3.3,3.49,3.76,4.04,4.13,4.5,5.05
"Virginia Beach, VA",VA,3.21,2.84,3.03,2.75,2.57,2.48,2.94,4.4,5.14,4.95,4.68,4.13,3.76,3.94,3.85,3.49,3.67,4.59,5.5,5.6,5.69,6.06,6.15,6.42,6.61,6.97,7.06,7.16,7.34,7.25,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.17,8.53,8.99,9.45,9.36,9.17,9.08,8.81,8.62,8.26,8.35,8.44,8.72,8.9,9.27,9.54,9.63,9.72,9.82,9.91,10
"Nashville, TN",TN,4.68,4.95,5.23,5.14,4.86,4.77,5.05,5.6,6.61,6.79,7.16,7.25,7.34,6.97,7.06,7.61,8.07,9.54,8.99,8.44,8.35,9.27,8.72,8.53,8.26,9.17,9.91,10,9.82,8.81,7.89,7.8,7.98,8.17,8.9,9.08,9.45,9.63,9.72,9.36,8.62,7.71,7.52,7.43,6.88,6.7,6.51,6.15,6.06,5.78,5.5,5.32,5.41,5.69,5.87,6.42,5.96,6.24,6.33
"Providence, RI",RI,3.49,3.58,3.39,3.12,2.94,3.85,4.86,6.24,6.15,6.06,5.87,5.5,5.69,5.32,5.23,5.05,5.6,5.96,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.71,7.8,7.43,7.25,7.34,7.61,8.07,8.81,9.08,9.27,9.63,9.82,10,9.91,9.72,9.45,9.36,8.9,8.53,8.17,8.44,8.62,8.26,7.89,7.52,7.98,8.35,8.72,8.99,9.17,9.54
"Milwaukee, WI",WI,3.85,4.31,4.4,3.94,4.22,4.59,4.68,4.95,5.14,5.6,6.06,6.15,5.96,5.87,5.41,5.05,5.5,6.24,6.33,6.42,6.51,6.61,6.7,6.88,6.79,6.97,7.06,7.16,7.52,7.71,7.25,7.34,7.43,7.61,7.8,7.89,7.98,8.07,8.17,8.26,8.35,8.53,8.44,8.62,8.72,9.36,9.27,9.08,8.81,8.9,9.17,8.99,9.45,9.54,9.63,9.72,9.82,9.91,10
"Jacksonville, FL",FL,4.04,4.5,4.77,4.95,5.05,5.14,5.69,5.5,5.41,5.6,5.96,6.24,6.33,6.15,5.87,5.32,5.23,5.78,6.06,6.42,6.7,7.52,7.43,6.97,6.61,6.51,6.79,6.88,7.06,7.16,7.61,7.8,8.62,8.99,8.81,8.72,9.36,9.63,9.82,10,9.91,9.72,9.54,9.45,9.27,9.08,9.17,8.9,8.53,7.89,7.34,7.25,7.71,7.98,8.07,8.17,8.26,8.35,8.44
"Memphis, TN",TN,4.77,5.41,5.23,4.95,4.5,4.86,4.31,4.59,5.5,5.96,6.24,6.42,6.15,5.87,5.14,3.94,4.4,5.78,6.06,6.33,6.51,6.7,6.61,6.79,6.88,7.16,6.97,7.06,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.26,8.44,8.62,9.08,9.17,8.99,8.9,8.72,8.53,8.07,8.17,8.35,8.81,9.45,9.91,10,9.82,9.72,9.63,9.54,9.36,9.27
"Oklahoma City, OK",OK,6.42,6.24,6.51,7.61,7.71,8.17,7.06,7.16,7.8,8.35,8.26,7.52,6.7,5.96,4.68,3.94,3.58,3.76,4.04,4.22,4.5,5.6,5.14,5.41,4.86,5.32,5.69,5.87,5.78,5.05,4.59,4.4,4.77,4.95,5.5,6.15,6.97,7.89,7.98,7.43,8.07,8.44,8.53,8.62,8.72,8.81,8.9,8.99,9.08,9.17,9.27,9.36,9.45,9.72,10,9.91,9.82,9.63,9.54
"Louisville-Jefferson County, KY",KY,4.77,4.5,4.59,4.95,5.05,5.14,5.23,5.32,5.5,5.6,5.87,6.06,6.15,5.96,5.69,5.41,5.78,6.24,6.33,6.42,6.51,6.88,6.79,6.61,6.7,6.97,7.06,7.25,7.61,8.26,8.44,8.35,8.53,8.17,7.98,8.07,9.08,9.63,9.82,9.91,10,9.72,9.36,8.99,8.72,8.81,9.17,9.54,9.27,9.45,8.9,8.62,7.89,7.8,7.71,7.52,7.34,7.16,7.43
"Hartford, CT",CT,4.86,5.14,5.23,4.04,2.94,3.03,4.13,5.5,5.78,5.96,5.41,4.31,3.12,2.66,2.29,2.11,2.02,2.39,3.76,4.4,4.95,4.5,5.05,5.32,5.6,5.87,6.88,7.16,7.25,7.34,7.43,7.52,7.61,7.71,8.17,8.9,9.36,8.99,8.44,9.54,9.82,10,9.91,9.63,8.53,8.07,7.98,7.8,7.89,8.26,8.35,9.08,9.27,9.17,8.62,8.72,8.81,9.45,9.72
"Richmond, VA",VA,3.67,3.58,3.12,2.57,2.2,3.03,4.4,5.6,5.87,6.06,5.96,5.5,5.32,4.86,4.13,3.76,4.04,4.68,5.41,5.78,6.24,6.33,6.42,6.7,6.79,6.88,7.06,7.34,7.71,7.52,7.25,7.16,7.43,7.61,7.8,8.26,8.53,8.17,8.44,9.82,10,9.91,9.63,9.27,9.08,8.72,8.81,9.36,9.72,8.9,8.07,8.35,9.17,9.45,9.54,8.99,8.62,7.89,7.98
"New Orleans, LA",LA,4.68,4.77,4.86,5.05,4.95,5.14,5.23,5.32,5.41,5.5,5.6,5.78,6.42,6.51,6.24,5.69,5.87,6.06,8.07,8.53,8.81,9.08,8.62,8.9,8.26,8.44,8.99,9.72,9.91,10,9.82,9.63,9.54,9.45,9.36,9.27,9.17,8.72,7.71,7.25,6.15,7.61,7.43,7.52,7.34,6.97,6.33,5.96,6.61,6.79,6.88,6.7,7.16,7.06,7.8,7.89,8.35,7.98,8.17
"Buffalo, NY",NY,5.96,6.15,6.24,5.87,4.59,5.05,5.23,5.41,3.94,3.58,3.76,4.68,4.31,3.67,3.39,4.04,4.5,4.86,6.33,6.42,6.79,6.97,6.88,6.51,6.61,6.7,7.06,7.16,7.52,7.71,7.61,7.25,7.34,7.43,7.8,7.89,8.62,9.54,9.72,9.82,10,9.91,9.63,8.99,8.26,7.98,8.07,8.17,8.35,8.44,8.53,8.72,8.81,9.17,9.27,9.36,8.9,9.45,9.08
"Raleigh, NC",NC,4.68,4.77,4.86,4.95,5.05,5.14,5.32,5.23,5.41,5.5,5.6,5.96,6.06,5.69,5.78,5.87,6.15,6.42,7.06,7.43,7.52,7.71,7.89,8.07,7.98,8.17,8.35,8.53,8.9,8.99,8.62,8.81,9.08,9.27,9.36,9.54,9.63,9.82,10,9.91,9.72,9.45,9.17,8.72,8.44,8.26,7.8,7.61,7.34,7.25,6.97,6.79,6.51,6.7,6.88,7.16,6.61,6.24,6.33
"Birmingham, AL",AL,5.23,5.41,5.69,5.96,6.15,5.87,5.5,5.32,5.14,4.95,4.68,4.59,4.77,5.05,5.6,5.78,6.06,6.24,6.33,6.42,6.51,6.88,7.16,7.43,7.34,7.06,6.79,6.61,6.7,6.97,7.25,7.52,7.89,8.07,7.8,7.71,7.61,7.98,8.17,8.26,9.63,10,9.91,9.36,8.9,8.81,9.54,9.72,8.62,8.44,8.35,8.72,9.17,9.08,8.53,8.99,9.27,9.45,9.82
"Salt Lake City, UT",UT,3.76,3.3,3.94,4.04,4.22,4.4,4.5,4.68,5.23,5.5,5.6,5.69,5.96,5.78,5.87,6.06,6.61,6.42,6.24,6.51,6.97,7.89,8.17,8.26,8.53,8.81,9.08,9.45,9.54,9.63,9.17,8.9,8.35,8.07,7.98,8.62,8.99,9.36,9.82,9.91,10,9.72,9.27,8.72,8.44,7.8,7.43,7.52,7.71,7.61,6.7,6.33,6.15,6.79,6.88,7.25,7.34,7.16,7.06
"Rochester, NY",NY,4.68,4.77,4.86,4.95,5.05,5.14,5.23,5.41,5.32,5.6,5.5,5.69,5.78,5.87,5.96,6.06,6.15,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,7.98,8.07,8.17,8.26,8.35,8.99,8.62,8.81,8.44,8.53,8.72,8.9,9.08,9.17,9.27,9.36,9.91,9.82,10,9.72,9.45,9.54,9.63
"Grand Rapids, MI",MI,4.22,4.31,4.4,4.68,4.77,4.86,5.23,5.6,5.87,6.15,6.24,5.96,5.78,5.5,5.41,5.32,5.69,6.06,6.42,6.33,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.71,7.52,7.34,7.43,7.61,7.8,7.89,7.98,8.07,8.53,9.17,9.27,8.9,8.26,8.17,8.44,8.72,8.99,9.08,9.63,9.72,9.82,9.36,9.54,9.91,10,9.45,8.81,8.35,8.62
"Tucson, AZ",AZ,2.84,2.94,2.48,2.11,2.2,2.39,2.57,2.75,3.03,3.21,3.39,3.49,3.58,3.67,3.85,4.04,4.22,4.77,5.23,5.6,6.24,6.51,6.7,6.79,6.88,6.97,7.34,7.71,7.61,7.43,7.25,7.06,7.16,7.52,7.8,7.98,7.89,8.07,8.17,8.26,8.44,9.08,9.63,9.54,8.99,8.62,8.35,8.53,8.72,8.81,8.9,9.17,9.27,9.36,9.45,9.72,9.82,9.91,10
